distance_to_merchant,hour_of_day,is_weekend,budget_utilization,merchant_regret_rate,dwell_time,purchase_occurred
141,3,0,0.5164085190243489,0.0692378495278464,67,0
275,21,1,0.4829317519186216,0.19995103827465333,354,0
240,17,1,0.6655110230146958,0.31306866849827,250,0
401,14,0,0.2050384323538731,0.9206683923148586,225,0
290,21,0,0.7293154984223638,0.5704734675984426,111,0
76,19,0,0.020089298898276042,0.35971886487478755,340,0
41,4,1,0.5854802303699784,0.19669597926465954,426,0
46,15,1,0.06969602559719668,0.7405686408107077,77,0
358,4,0,0.16192801974473203,0.9767052270477186,425,0
26,13,1,0.07961399354091481,0.9518205832288475,202,1
64,16,1,0.8535072419422193,0.5126065658342318,574,0
406,7,0,0.2149274286254801,0.8087431640656827,174,0
408,22,0,0.11759353714805154,0.2863359202316379,377,0
122,17,0,0.8940534205600514,0.8218150298231486,28,1
474,20,0,0.08713440988246024,0.7934631240022607,260,0
369,0,1,0.20775934528179196,0.6924330914430176,210,0
349,5,0,0.3684209872689542,0.20791580660817932,526,0
276,0,0,0.23565064753911913,0.5209907761263763,416,0
358,18,0,0.823028177995249,0.015098687480510575,285,0
423,18,1,0.6890860729447235,0.0842370752521312,69,0
207,2,1,0.7252004865515421,0.6688547647400778,555,0
362,1,1,0.701621212738116,0.29181134843058,353,0
142,12,0,0.07606713822048061,0.90344430168295,395,0
406,23,0,0.9769062655864419,0.2907111857750935,52,0
144,18,0,0.5849258061638937,0.1130866289866953,176,0
385,4,0,0.2997997384116591,0.14862063583977014,14,0
284,3,1,0.9373785138638805,0.18978686666666544,312,0
328,14,1,0.22006531669808216,0.6935153196285243,58,0
43,14,1,0.6062214791763175,0.7881025338784492,500,0
209,1,0,0.38091377009016025,0.007527918929106425,235,0
377,22,1,0.4434213325456964,0.8483055768108696,322,0
133,2,1,0.5367228728299775,0.7491535256039988,170,0
439,17,1,0.9568827994454,0.012268465267765705,356,0
53,8,1,0.5412194707594886,0.6066909499530333,278,0
330,16,1,0.3759322106527223,0.16854228700375207,478,0
37,7,1,0.7534235176094509,0.7451479524675344,582,1
115,13,1,0.7996778911964502,0.9511313996465905,227,0
138,16,0,0.6963252758999597,0.9632415615380491,193,0
389,22,0,0.017344003192079627,0.9262513753867434,164,1
186,21,0,0.9194521870817193,0.4417348686305588,19,0
248,13,0,0.7603451167948688,0.20042900944713515,402,0
208,3,1,0.6042101918982117,0.9879796667434396,12,0
163,13,1,0.03997077353273848,0.17016162081294572,589,0
127,11,1,0.5813265172212495,0.6294131314674751,328,0
34,13,1,0.04035430219727476,0.4877442660390996,217,0
480,16,1,0.8685743522991737,0.6378912418544266,581,0
419,22,1,0.19321767250718513,0.4362807953999638,55,0
328,10,1,0.40247058367304966,0.42977820642336817,476,0
150,11,0,0.23006932881826492,0.5552266574994174,396,0
176,0,1,0.2990670018883129,0.5856295030087241,540,0
341,16,0,0.9213107952859407,0.16866672498552115,386,0
487,8,1,0.762492805974242,0.45682740656974863,253,0
443,1,1,0.180936689327448,0.9222136380430999,437,0
155,23,1,0.6574982354417066,0.39809602515245224,561,0
65,0,0,0.5830816841518266,0.4867083810450049,306,0
323,1,0,0.6932242108730782,0.7848952606293134,463,0
78,17,0,0.23765485820502297,0.5096022329169615,375,0
162,15,1,0.9783098527156997,0.1426854241833515,495,0
48,22,0,0.8033098132793903,0.8487193700236624,404,1
114,18,1,0.9832367563026795,0.9051826501087372,232,1
156,1,0,0.8733044654668163,0.013218083623957488,103,0
122,19,0,0.3802842629843567,0.35374860788331053,520,0
402,23,1,0.3137943313027126,0.9122085872169021,475,0
325,13,0,0.9459073509635428,0.6491034799060752,474,0
494,23,0,0.8812498007318106,0.610853614151556,49,0
62,15,0,0.5269864034805398,0.8621287906306687,344,0
459,16,0,0.6868996704318237,0.670139660471293,400,0
52,4,1,0.7349179307565508,0.39481664424085794,289,0
296,14,1,0.8788922396835939,0.06681604044733391,226,0
401,21,1,0.5255921847366333,0.967770714232188,415,1
329,7,1,0.367903250006301,0.4991593995564123,420,0
84,22,1,0.3861416300513454,0.17310730463962687,442,0
485,20,0,0.0831528144709851,0.3598006219749085,63,0
379,23,1,0.00603747662950771,0.8032891060470341,374,0
329,17,1,0.8683887625406992,0.9606715712586705,322,1
234,1,1,0.7809901192610642,0.8628188733478172,563,0
172,22,1,0.7228706577688248,0.5271902103773335,295,0
334,20,0,0.516455720530622,0.6911585823987733,165,0
127,12,1,0.48249141972801013,0.5217905323047022,39,0
147,8,0,0.179210625178574,0.5332043165120908,510,0
153,16,1,0.7730781995232594,0.9142682334132937,427,0
111,22,1,0.08075220999222155,0.6393435968916443,199,0
63,3,1,0.542443917506433,0.8648274576991443,336,0
26,10,1,0.25526698362424216,0.6949816757290722,494,0
60,10,0,0.6127128492111829,0.9735632820646228,386,0
